-4.74201e+06, 0, -589617, 6.378e+06, 3.75258e+08, 0, -589617, 1.17374e+06, 7.95074e+08, 0, 3.79608e+09, 473000
-4.74144e+06, -45266, -587959, 6.378e+06, 3.7524e+08, 3.67914e+06, -589617, 1.17374e+06, 7.92852e+08, 7, 3.78553e+09, 473000
-4.74044e+06, -90529, -586301, 6.378e+06, 3.75187e+08, 7.35793e+06, -589617, 1.17374e+06, 7.9063e+08, 26, 3.77499e+09, 473000
-4.73899e+06, -135782, -584643, 6.378e+06, 3.75097e+08, 1.1036e+07, -589616, 1.17374e+06, 7.88409e+08, 59, 3.76444e+09, 473000
-4.7371e+06, -181023, -582984, 6.378e+06, 3.74972e+08, 1.47131e+07, -589615, 1.17374e+06, 7.86188e+08, 104, 3.7539e+09, 473000
-4.73477e+06, -226246, -581326, 6.378e+06, 3.74811e+08, 1.83887e+07, -589613, 1.17374e+06, 7.83967e+08, 163, 3.74335e+09, 473000
-4.732e+06, -271448, -579667, 6.378e+06, 3.74615e+08, 2.20626e+07, -589611, 1.17374e+06, 7.81746e+08, 235, 3.73281e+09, 473000
-4.72879e+06, -316624, -578009, 6.378e+06, 3.74382e+08, 2.57344e+07, -589607, 1.17374e+06, 7.79525e+08, 319, 3.72226e+09, 473000
-4.72515e+06, -361770, -576350, 6.378e+06, 3.74114e+08, 2.94037e+07, -589602, 1.17374e+06, 7.77304e+08, 417, 3.71172e+09, 473000
-4.72106e+06, -406881, -574691, 6.378e+06, 3.73811e+08, 3.30703e+07, -589596, 1.17374e+06, 7.75084e+08, 528, 3.70117e+09, 473000
-4.71654e+06, -451954, -573033, 6.378e+06, 3.73471e+08, 3.67336e+07, -589589, 1.17374e+06, 7.72864e+08, 652, 3.69063e+09, 473000
-4.71157e+06, -496983, -571374, 6.378e+06, 3.73096e+08, 4.03935e+07, -589579, 1.17374e+06, 7.70643e+08, 789, 3.68008e+09, 473000
