Outcome, Magnitude, Theta
0, 7.00143e+21, 1.21551
0, 1.55709e+22, 1.45024
1, 2.92036e+22, 0.265373
0, 1.52038e+22, 0.829935
1, 5.58259e+21, 0.524096
0, 1.63015e+22, 1.15531
0, 4.41626e+22, 0.288336
0, 2.44923e+22, 0.805805
1, 2.86147e+22, 0.108954
1, 2.17396e+22, 0.209523
0, 3.01882e+22, 0.886624
1, 4.38973e+22, 0.0916212
0, 2.32023e+22, 0.987152
0, 4.01951e+22, 1.39944
1, 1.5516e+22, 0.57462
0, 2.80595e+22, 0.189794
1, 1.5737e+22, 0.0425179
1, 9.6055e+21, 0.0339361
0, 3.16218e+22, 0.115344
0, 3.53801e+22, 1.03752
0, 1.66538e+22, 0.894622
0, 1.1823e+22, 1.13462
1, 2.41153e+22, 0.0452626
1, 1.81368e+22, 0.406248
0, 3.45174e+22, 0.746901
1, 9.58936e+21, 0.679764
1, 1.98477e+22, 0.514228
0, 4.29842e+22, 0.412041
0, 2.49414e+22, 1.27032
0, 3.49289e+22, 0.239349
0, 1.84493e+22, 1.41764
0, 1.46347e+22, 1.22447
1, 1.06441e+22, 0.851605
1, 1.14152e+22, 0.0202346
0, 3.79974e+22, 1.03487
0, 4.73713e+22, 0.611896
0, 1.52841e+22, 0.865765
0, 1.868e+22, 1.18683
1, 1.19894e+22, 0.481672
0, 4.07544e+22, 0.287814
0, 7.06982e+21, 1.40059
0, 4.57231e+22, 0.501385
0, 3.20386e+22, 0.422372
0, 4.69939e+22, 1.16804
0, 9.31585e+21, 0.948475
0, 3.81052e+22, 0.556584
0, 3.61658e+22, 0.444461
1, 1.63748e+22, 0.151203
1, 1.86009e+22, 0.441354
0, 3.91465e+22, 1.39846
0, 3.01983e+22, 1.11875
0, 3.58147e+22, 1.2514
1, 6.35545e+21, 0.510928
1, 1.84566e+22, 0.54547
0, 4.50445e+22, 0.450185
0, 1.0837e+22, 1.25809
0, 1.07654e+22, 1.26118
1, 1.1816e+22, 0.196067
0, 4.91141e+22, 1.26778
0, 2.57111e+22, 1.22265
0, 2.06993e+22, 0.896189
0, 3.78133e+22, 0.655987
1, 1.65455e+22, 1.09331
0, 2.39493e+22, 1.31589
0, 4.78361e+22, 1.26751
0, 2.05916e+22, 1.28561
1, 1.9979e+22, 0.223741
1, 1.2541e+22, 0.278303
0, 4.76059e+22, 0.729851
0, 2.54029e+22, 1.44738
1, 1.9847e+22, 0.132375
0, 4.14935e+22, 1.29659
0, 3.18506e+22, 1.56605
1, 2.25078e+22, 0.15278
0, 1.4396e+22, 0.724906
0, 1.75273e+22, 1.46561
0, 3.85172e+22, 0.986171
0, 4.20107e+22, 0.649776
0, 4.57903e+22, 0.329194
1, 1.91557e+22, 0.406177
0, 3.90222e+22, 0.872448
1, 1.48267e+22, 0.702628
0, 3.47336e+22, 1.38036
0, 4.32415e+22, 1.00977
0, 3.74231e+22, 1.52559
0, 4.04543e+22, 0.564871
1, 2.08302e+22, 0.0802093
1, 1.31077e+22, 0.616839
0, 1.58355e+22, 1.15822
1, 8.03964e+21, 0.170104
0, 1.16815e+22, 0.725482
0, 4.35015e+22, 1.09181
1, 1.21373e+22, 0.446957
1, 2.07914e+22, 0.797172
0, 1.21916e+22, 0.741322
1, 1.18673e+22, 0.708058
0, 4.0936e+22, 0.334738
1, 9.81214e+21, 1.0213
0, 3.1705e+22, 1.11931
0, 4.83866e+22, 0.353139
1, 4.36096e+22, 0.0040436
0, 2.38813e+22, 0.944346
0, 2.06039e+22, 1.2798
0, 1.21037e+22, 0.800826
1, 1.48401e+22, 0.263857
0, 2.38515e+22, 1.55753
0, 1.1544e+22, 1.02656
1, 2.90879e+22, 0.0702251
1, 1.31625e+22, 0.653639
0, 4.91154e+22, 0.408325
0, 4.93907e+22, 0.769554
1, 1.79276e+22, 0.140484
1, 9.25257e+21, 1.23785
0, 4.42106e+22, 1.56491
0, 3.26705e+22, 1.13665
0, 2.65825e+22, 1.24295
0, 3.96273e+22, 1.53278
0, 3.12481e+22, 0.375196
0, 4.17395e+22, 1.10616
0, 4.25715e+22, 0.312481
0, 3.55502e+22, 0.224735
1, 9.52656e+21, 1.2515
0, 1.85394e+22, 1.27397
0, 4.96562e+22, 1.19812
0, 3.65617e+22, 1.12959
0, 2.06918e+22, 0.328243
0, 3.47328e+22, 0.392899
0, 2.89336e+22, 0.681031
1, 2.95924e+22, 0.00344741
0, 2.03726e+22, 0.641492
0, 4.74929e+22, 1.46417
1, 1.88862e+22, 0.420638
0, 2.52437e+22, 0.927041
0, 3.54217e+22, 0.238341
0, 3.65725e+22, 0.533683
0, 3.96598e+22, 0.0712902
1, 1.81974e+22, 0.274566
0, 3.49376e+22, 0.280794
0, 1.83635e+22, 1.0488
0, 2.66478e+22, 0.852053
0, 4.69696e+22, 0.853614
0, 2.56016e+22, 0.731908
1, 1.31834e+22, 0.561365
0, 4.72254e+22, 0.271899
0, 4.43347e+22, 0.152186
0, 1.48885e+22, 1.055
0, 2.76636e+22, 0.351734
0, 4.89774e+22, 0.547655
0, 1.79896e+22, 1.02572
0, 2.52911e+22, 1.557
1, 2.25571e+22, 0.454653
1, 2.07611e+22, 0.106676
0, 4.35366e+22, 0.757467
0, 2.89809e+22, 1.31897
0, 3.21501e+22, 1.40847
0, 3.16722e+22, 1.33324
0, 2.8111e+22, 0.0185929
0, 1.05356e+22, 1.53811
1, 2.4604e+22, 0.185255
0, 3.52908e+22, 0.931609
0, 3.47453e+22, 1.46965
0, 4.15196e+22, 0.826609
0, 3.57949e+22, 0.553207
1, 9.60797e+21, 0.874481
0, 3.94115e+22, 0.0293781
0, 1.9708e+22, 0.910839
1, 1.75619e+22, 0.102198
0, 3.35099e+22, 0.665279
0, 2.80018e+22, 0.375998
1, 6.6925e+21, 1.28175
0, 3.36768e+22, 1.02406
1, 2.30498e+22, 0.00815879
1, 1.7665e+22, 0.473367
0, 4.41117e+22, 1.1238
0, 4.13023e+22, 0.699673
0, 2.64812e+22, 1.21269
0, 2.31004e+22, 1.5586
0, 2.20385e+22, 0.847984
0, 4.3125e+22, 1.40691
1, 9.12652e+21, 0.0676712
0, 4.03811e+22, 1.32467
0, 4.66642e+22, 1.29482
0, 3.46796e+22, 1.50838
0, 3.5938e+22, 1.47699
1, 2.20432e+22, 0.312976
0, 2.47771e+22, 1.22598
1, 1.79973e+22, 0.305318
1, 1.3364e+22, 0.393701
0, 4.96292e+22, 1.09335
0, 4.22001e+22, 0.457503
0, 2.66427e+22, 0.784575
1, 5.18353e+21, 1.30519
0, 3.82134e+22, 0.773706
0, 2.37718e+22, 0.277463
0, 7.47546e+21, 1.12026
0, 1.54627e+22, 1.01499
1, 3.22594e+22, 0.370799
1, 7.42895e+21, 0.0475525
1, 3.84271e+22, 0.00749258
0, 1.93134e+22, 1.13512
1, 1.37201e+22, 0.167078
0, 2.42102e+22, 1.51983
1, 8.80992e+21, 0.993565
1, 2.16164e+22, 0.144577
0, 3.46063e+22, 0.598199
0, 4.40003e+22, 0.663884
0, 3.56504e+22, 0.94584
0, 4.78781e+22, 0.30072
0, 4.86969e+22, 0.822687
1, 8.33225e+21, 1.20991
1, 1.07383e+22, 1.01219
0, 4.54253e+22, 0.939565
0, 3.03821e+22, 0.495082
1, 5.76017e+21, 0.324061
0, 2.4113e+22, 0.110513
0, 1.74558e+22, 0.581915
