Outcome, Magnitude, Theta
0, 8.49672e+16, 1.49529
0, 5.03347e+16, 0.805042
1, 2.41497e+16, 0.421958
1, 8.36396e+15, 0.581633
0, 3.34064e+16, 0.983119
1, 9.49088e+16, 0.0912525
1, 4.6981e+15, 0.812679
0, 2.42645e+16, 1.44249
0, 6.40585e+16, 1.14792
0, 5.30388e+16, 1.17756
0, 7.10441e+16, 0.660355
0, 3.60357e+16, 0.923565
0, 7.1941e+16, 1.55332
1, 6.67577e+15, 1.26762
0, 5.40603e+16, 1.14813
0, 9.62449e+16, 1.43436
1, 1.78259e+16, 0.307768
0, 7.55405e+16, 1.42645
0, 9.70676e+16, 1.32019
0, 3.55686e+16, 1.49432
0, 7.32711e+16, 1.0239
0, 5.62251e+16, 0.305319
0, 7.88017e+16, 0.521992
0, 4.88171e+16, 0.573144
0, 2.99907e+16, 0.941927
0, 6.6333e+16, 1.48404
0, 3.27618e+16, 0.822291
1, 1.00962e+16, 0.212563
0, 5.49345e+16, 0.0428374
0, 7.79837e+16, 1.36588
0, 9.04782e+16, 0.500845
0, 6.50665e+16, 0.849874
0, 5.70554e+16, 0.541386
0, 5.91622e+16, 1.28362
1, 3.5014e+16, 0.587326
0, 2.79298e+16, 1.37799
0, 4.46308e+16, 1.03499
0, 6.52004e+16, 0.94787
1, 1.18321e+16, 1.12405
0, 4.5515e+16, 0.436964
0, 3.28419e+16, 0.525278
1, 7.07883e+15, 0.148841
0, 5.13739e+16, 1.29513
0, 5.46723e+16, 1.20326
0, 8.97972e+16, 0.215433
1, 8.8893e+16, 0.0741653
0, 8.49161e+16, 0.308342
0, 8.1836e+16, 1.27049
1, 8.17806e+16, 0.029555
1, 2.1005e+16, 0.649509
0, 7.43989e+16, 1.52628
1, 9.8576e+15, 0.534163
0, 9.22141e+16, 1.1956
0, 2.72442e+16, 1.31417
0, 6.21196e+16, 0.704958
0, 6.65693e+16, 0.915217
0, 2.33568e+16, 0.914546
0, 5.7512e+15, 0.946256
0, 9.20186e+16, 1.07063
0, 6.09031e+16, 1.19177
0, 5.53011e+16, 1.21207
1, 2.02265e+16, 0.323095
0, 4.55222e+16, 0.144629
1, 3.53769e+15, 1.16722
1, 5.5732e+16, 0.0706944
1, 7.72996e+16, 0.0450782
0, 9.54909e+16, 0.539673
1, 4.12258e+15, 0.092015
0, 9.55819e+16, 1.56156
1, 3.36964e+16, 0.251391
0, 4.76187e+16, 0.256518
0, 8.45037e+16, 0.385391
0, 3.91338e+16, 0.809059
1, 3.04837e+16, 0.380483
0, 6.6302e+16, 0.191546
1, 3.47831e+16, 0.285998
0, 3.50618e+16, 0.852468
0, 1.54021e+16, 1.42421
1, 2.66567e+16, 0.120165
0, 6.19328e+16, 0.84107
0, 9.73833e+16, 0.934177
0, 8.59435e+16, 0.284622
0, 6.58474e+16, 0.356141
0, 7.09747e+16, 1.02612
0, 8.56638e+16, 0.646693
0, 8.61165e+16, 1.46223
0, 3.59037e+16, 0.773371
0, 8.77503e+16, 1.43666
0, 3.55891e+16, 0.30964
0, 3.66171e+16, 0.521174
0, 5.47926e+16, 0.664024
1, 3.45242e+15, 1.51904
0, 8.48072e+16, 1.11253
0, 6.63754e+16, 1.22147
0, 9.16261e+16, 0.189301
1, 2.23507e+16, 0.260118
1, 3.13239e+16, 0.406548
0, 9.96403e+16, 0.42675
1, 4.01615e+15, 0.780856
0, 6.87712e+16, 0.270752
0, 1.48412e+16, 1.2585
0, 9.56584e+16, 1.27831
0, 6.15356e+16, 0.838524
0, 1.39763e+16, 0.869883
0, 3.94519e+16, 1.04981
1, 2.90643e+15, 0.694565
0, 1.2551e+16, 1.50816
0, 5.74015e+16, 0.596887
0, 9.03872e+16, 0.253771
0, 7.90593e+16, 0.422074
1, 8.53814e+15, 0.417719
0, 2.2362e+16, 1.36166
0, 8.02824e+15, 1.115
0, 9.58977e+16, 0.912406
0, 8.88182e+16, 0.702882
1, 4.65793e+16, 0.193986
0, 1.76791e+16, 1.25728
0, 4.23896e+16, 0.796052
1, 2.12247e+16, 0.174124
0, 8.25427e+16, 1.235
1, 2.65721e+16, 0.0233314
0, 3.99894e+16, 0.980595
0, 4.32848e+15, 1.37666
0, 3.16289e+16, 1.54974
0, 1.34095e+16, 1.48212
1, 2.38334e+16, 0.282205
0, 4.27106e+16, 0.562522
0, 1.68523e+16, 1.08286
1, 3.55746e+16, 0.783456
0, 5.8002e+16, 1.33665
0, 8.48946e+16, 1.08237
0, 3.3713e+16, 1.55872
0, 2.25345e+16, 1.06641
0, 8.90317e+16, 0.366915
0, 6.59507e+16, 0.0664125
0, 9.00292e+16, 0.856734
1, 1.79667e+16, 0.168402
0, 6.34325e+16, 1.4722
0, 2.74391e+15, 0.530366
1, 1.36271e+16, 0.320772
0, 7.85262e+16, 0.159378
1, 3.79865e+16, 0.401389
1, 5.6767e+15, 0.355997
0, 4.47431e+16, 1.07585
1, 3.55265e+16, 0.619047
0, 8.09901e+16, 1.12436
1, 2.41992e+16, 0.47337
1, 3.39398e+16, 0.0564014
0, 9.25169e+16, 0.308221
1, 4.40234e+15, 0.480991
0, 6.25149e+16, 0.53881
0, 2.81981e+16, 0.923301
1, 2.16651e+16, 0.0962676
1, 1.55705e+15, 0.396225
0, 7.90966e+16, 0.222644
0, 4.99004e+16, 0.970915
1, 1.11297e+16, 0.453568
0, 4.14351e+16, 0.471143
0, 7.47414e+16, 0.7939
0, 7.25862e+16, 0.736372
0, 2.04494e+16, 1.03876
0, 3.58247e+16, 0.930442
0, 4.84276e+16, 0.31438
0, 5.93435e+16, 0.815583
0, 4.99827e+16, 1.00153
0, 8.72948e+16, 0.342819
0, 3.4302e+16, 0.881935
0, 3.57336e+16, 0.916495
0, 6.64053e+16, 1.08888
0, 7.24804e+16, 1.50372
1, 2.53315e+16, 0.346999
0, 6.51325e+16, 0.899456
0, 5.20674e+16, 0.748888
0, 3.85092e+16, 0.57613
0, 3.01474e+16, 1.53337
0, 7.63728e+16, 0.942027
0, 7.75538e+16, 1.32367
0, 4.71117e+16, 0.776816
1, 9.60202e+15, 0.080217
0, 5.48947e+16, 1.13292
0, 9.56411e+16, 0.362575
0, 9.76169e+16, 0.205018
0, 2.0148e+16, 1.42769
0, 3.17487e+16, 0.194103
0, 3.91383e+16, 0.44751
0, 4.69895e+16, 1.26213
0, 5.81104e+16, 0.416912
0, 9.76037e+16, 0.438237
1, 1.20937e+16, 0.13944
0, 3.45439e+16, 1.35755
0, 7.78541e+16, 1.08782
0, 8.46697e+16, 0.973959
0, 5.52339e+16, 0.783962
0, 7.34509e+16, 1.0404
1, 4.9616e+16, 0.150732
0, 6.40048e+16, 1.55901
0, 4.57631e+16, 0.157805
0, 9.45992e+16, 0.691888
0, 6.67108e+16, 0.932576
0, 3.79426e+16, 1.51832
0, 7.15972e+16, 0.398176
0, 4.76373e+16, 1.37
0, 8.58409e+16, 1.11772
0, 8.30385e+16, 0.374981
0, 5.29851e+16, 1.39381
0, 6.43311e+16, 1.19896
0, 6.33595e+16, 0.862346
0, 8.46882e+15, 1.00794
0, 5.94984e+16, 0.905922
1, 2.48654e+16, 0.781352
1, 1.79123e+16, 0.310716
0, 7.34499e+16, 1.17706
0, 9.74278e+15, 1.50828
1, 7.78746e+16, 0.189111
0, 1.2742e+16, 1.34232
0, 4.16724e+16, 1.28196
0, 4.21213e+16, 0.536475
0, 4.79805e+16, 0.23999
1, 5.87165e+15, 1.40098
1, 2.49229e+16, 0.118526
0, 5.60163e+16, 0.372026
0, 9.04754e+16, 1.54483
0, 5.30166e+16, 1.33195
0, 6.29773e+16, 1.15181
0, 7.70028e+16, 0.687885
0, 8.86149e+16, 1.31403
0, 9.44103e+16, 0.240957
0, 7.75686e+16, 0.681187
1, 2.80783e+16, 0.188934
1, 3.15157e+16, 0.25546
1, 2.34691e+16, 0.541892
0, 2.98629e+16, 0.745243
1, 3.77177e+16, 0.279119
1, 5.04282e+16, 0.0309509
1, 2.73531e+16, 1.00586
1, 4.23388e+16, 0.380168
0, 1.52871e+16, 1.29161
0, 3.52818e+16, 1.20403
1, 1.34804e+16, 0.308726
0, 2.27955e+16, 1.30338
1, 3.24026e+15, 0.433145
0, 6.36923e+16, 1.3629
1, 5.81584e+16, 0.126463
0, 7.51201e+16, 0.894099
1, 2.6029e+16, 0.26075
1, 6.57935e+15, 0.382397
0, 6.56782e+16, 0.88999
0, 3.06459e+16, 0.869428
0, 1.34223e+16, 1.40635
0, 7.29404e+16, 1.40389
0, 2.00253e+16, 1.10645
0, 9.10376e+16, 0.734039
0, 3.61754e+16, 1.54967
1, 9.06492e+15, 0.711902
1, 9.75264e+15, 1.31841
0, 9.1846e+16, 0.790877
0, 4.91458e+16, 0.45243
1, 1.70026e+16, 0.800092
0, 1.06168e+16, 1.09843
1, 1.04753e+16, 1.24681
0, 6.11052e+16, 1.37195
0, 6.43222e+16, 0.463195
1, 1.64259e+16, 0.0227845
0, 4.99778e+16, 0.976933
0, 4.68401e+16, 0.936665
1, 1.50493e+15, 1.28661
0, 8.49607e+16, 0.80185
1, 1.324e+15, 0.370323
1, 4.1883e+15, 0.325919
0, 6.9637e+16, 0.192485
0, 1.92377e+16, 1.10435
0, 2.3083e+16, 0.731078
1, 2.14557e+16, 0.757923
0, 2.30143e+16, 1.38368
0, 4.34122e+16, 0.840979
0, 7.30942e+16, 1.31579
0, 7.40981e+16, 0.243846
0, 6.49251e+16, 1.21628
0, 8.42674e+16, 0.299526
1, 1.09791e+16, 0.731481
1, 6.17179e+15, 0.328455
1, 1.93117e+16, 0.130072
0, 4.47909e+16, 1.0968
0, 7.13938e+16, 1.09779
0, 7.20916e+16, 1.43947
0, 8.13651e+16, 1.30246
1, 7.50356e+15, 0.0243025
0, 5.46283e+16, 1.31565
0, 8.3948e+16, 1.11995
0, 4.13011e+16, 0.511544
0, 8.42021e+16, 0.660194
0, 9.83564e+16, 0.720573
0, 8.93642e+16, 0.0766059
0, 3.98929e+16, 0.725151
1, 1.36285e+16, 1.25235
0, 9.5073e+16, 0.939749
0, 9.23652e+16, 0.606665
0, 9.83009e+15, 1.43146
0, 8.8162e+16, 0.417155
0, 9.43632e+16, 1.47596
0, 2.68556e+16, 1.02378
0, 1.9561e+16, 1.1448
0, 4.0255e+16, 0.898593
0, 7.00157e+16, 1.07955
1, 1.1319e+15, 1.10745
1, 2.147e+16, 1.26847
1, 9.44191e+15, 1.3598
0, 5.03425e+16, 0.923924
0, 9.06174e+16, 0.181973
0, 6.28396e+16, 0.98486
0, 9.0267e+16, 0.247454
1, 1.36247e+16, 0.174312
1, 3.51886e+15, 1.01595
0, 5.25486e+16, 0.833693
0, 5.83181e+16, 1.13108
0, 7.53426e+16, 0.25329
0, 9.41105e+16, 0.260468
0, 5.45293e+16, 0.560449
1, 6.47845e+15, 0.259445
0, 8.8051e+16, 1.14516
0, 3.68981e+16, 0.484485
0, 6.18569e+16, 0.685117
1, 1.84382e+16, 1.02243
1, 1.08211e+16, 1.06994
0, 7.31563e+16, 0.560656
0, 7.12698e+16, 0.225973
0, 3.75515e+16, 1.57079
0, 1.12126e+16, 1.08655
1, 1.19348e+16, 0.0701279
0, 6.79058e+16, 0.421388
1, 1.71567e+16, 0.12001
0, 5.4178e+16, 0.177437
0, 1.72328e+16, 0.78667
1, 1.06366e+16, 0.461614
0, 8.41066e+16, 1.38727
1, 4.29078e+16, 0.0950493
0, 2.87913e+16, 0.601332
0, 6.27188e+16, 0.553929
0, 2.00957e+16, 1.30869
0, 7.49431e+16, 0.921982
1, 3.72959e+16, 0.345223
0, 6.44904e+16, 1.4416
1, 5.63185e+16, 0.0611695
0, 6.27233e+16, 0.641858
0, 6.53557e+16, 0.0165984
0, 4.59196e+16, 1.55093
0, 9.82845e+16, 1.39386
0, 5.00221e+16, 0.433066
0, 9.11245e+16, 0.384666
0, 5.37662e+16, 0.636375
1, 2.69911e+16, 0.243058
1, 2.73651e+15, 1.44871
0, 7.36055e+16, 0.782179
0, 9.55972e+16, 1.51797
1, 1.27911e+16, 0.863752
1, 1.74681e+16, 0.569862
0, 4.18543e+16, 0.339499
0, 4.2731e+16, 1.54701
1, 8.95074e+15, 1.4866
1, 5.69615e+15, 0.634227
0, 5.35945e+16, 0.166477
0, 5.78022e+16, 1.21172
0, 7.48866e+16, 1.41077
0, 6.15345e+16, 0.300899
0, 7.0912e+16, 0.390553
0, 9.42833e+16, 0.915274
1, 4.91692e+16, 0.0145662
0, 6.37626e+16, 0.887423
0, 4.6963e+16, 0.539428
1, 1.41937e+16, 1.17009
1, 4.99031e+15, 0.0420426
0, 9.33348e+16, 0.852663
0, 8.82417e+16, 1.31578
0, 9.63622e+16, 1.46699
1, 1.55959e+16, 0.532071
1, 1.39695e+16, 0.232207
1, 6.00752e+16, 0.133284
0, 8.74032e+16, 1.03571
0, 4.04888e+16, 0.813186
1, 4.08209e+16, 0.226618
1, 3.1599e+16, 0.104167
1, 1.70415e+16, 0.449471
1, 3.99437e+15, 1.29094
0, 9.21758e+16, 0.267844
0, 5.16208e+16, 1.06093
0, 1.1905e+16, 1.11412
1, 4.14327e+16, 0.252345
1, 1.74184e+16, 0.0139149
0, 9.77024e+16, 1.52109
0, 9.84613e+16, 0.686799
0, 7.42798e+16, 0.933681
1, 1.97691e+16, 0.407669
0, 8.29482e+16, 0.7181
1, 2.89351e+16, 0.297468
0, 5.22153e+16, 1.06826
1, 1.10326e+16, 0.592987
0, 5.81857e+16, 1.36968
0, 4.21754e+16, 1.32858
0, 8.66543e+16, 0.49186
0, 4.36111e+16, 1.31587
0, 5.31714e+16, 1.52386
0, 4.68101e+16, 0.665181
0, 5.59972e+16, 0.519991
0, 5.21935e+16, 0.730497
0, 9.57395e+16, 0.309647
0, 5.531e+16, 1.33212
0, 9.36452e+16, 0.316969
0, 7.58602e+16, 0.313538
0, 8.67613e+16, 1.56606
0, 7.48506e+16, 0.546024
0, 6.93925e+16, 0.894984
1, 1.21235e+15, 0.650981
1, 1.30391e+16, 0.883361
0, 9.23852e+16, 0.478146
0, 1.09825e+15, 1.29214
0, 8.34458e+16, 0.759162
0, 5.60797e+16, 0.814144
0, 6.29583e+16, 1.37084
0, 3.33139e+16, 1.5051
0, 1.87222e+16, 0.841413
0, 8.35082e+16, 0.158464
1, 2.31827e+16, 0.683853
0, 5.7767e+16, 0.591112
0, 2.99267e+16, 1.08899
0, 8.07142e+15, 1.14069
0, 9.7006e+16, 0.58511
0, 7.95901e+16, 0.367623
0, 3.41055e+16, 1.51405
1, 8.73687e+15, 0.215651
0, 4.71397e+16, 0.30794
1, 2.08963e+16, 0.134399
0, 8.77399e+16, 0.66884
0, 9.40849e+16, 0.430829
1, 2.21334e+16, 0.636026
0, 6.77275e+16, 0.85951
0, 8.06283e+16, 0.267476
1, 1.43343e+16, 0.708426
1, 6.53957e+15, 0.209129
1, 1.55367e+16, 1.07443
0, 2.74641e+16, 0.717577
0, 5.53467e+16, 1.05568
1, 3.0217e+16, 0.254189
0, 4.3645e+16, 1.23157
0, 7.98603e+16, 0.448715
0, 8.94198e+16, 0.915972
1, 2.89802e+16, 0.37363
0, 4.47059e+16, 1.32187
1, 1.47758e+16, 0.534072
0, 1.85061e+16, 0.711025
1, 7.0569e+15, 0.188834
1, 5.69008e+16, 0.135222
0, 6.38815e+16, 1.37279
0, 2.13926e+16, 1.30619
0, 5.18924e+16, 0.824655
1, 2.55146e+16, 0.182153
1, 2.95566e+16, 0.274017
0, 2.28043e+16, 1.17731
0, 4.89549e+16, 1.34194
1, 3.11956e+16, 0.225058
0, 2.11957e+16, 0.541808
0, 5.57897e+16, 1.11314
0, 6.55577e+16, 0.610763
0, 8.41637e+16, 1.54919
1, 3.20157e+16, 0.231769
0, 9.20869e+16, 0.24776
0, 8.51708e+16, 1.40379
0, 3.71764e+16, 1.14458
0, 9.25672e+16, 0.569208
0, 1.8831e+16, 0.727937
0, 8.58202e+16, 1.01083
0, 5.66893e+16, 0.0785071
0, 3.17104e+16, 1.39511
1, 1.80003e+16, 0.109789
0, 7.44127e+16, 1.19787
1, 3.72163e+16, 0.282706
0, 5.00172e+16, 1.13566
1, 3.68664e+15, 0.852326
1, 5.88905e+16, 0.210328
0, 4.41453e+16, 0.979381
0, 9.8893e+16, 1.32995
0, 4.16945e+15, 1.3782
0, 7.25965e+16, 0.776872
0, 8.13766e+16, 1.32956
1, 2.16646e+16, 0.559163
0, 7.68997e+16, 1.08387
0, 7.90084e+16, 0.412417
0, 3.30032e+16, 1.08607
0, 9.194e+16, 0.974709
0, 6.14859e+16, 1.29932
1, 9.41104e+15, 0.767909
